GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
mvn-Calculadora,es.iespuertodelacruz.javier.api,Fruta,58,52,2,0,11,21,3,11,2,11
mvn-Calculadora,es.iespuertodelacruz.javier,App,7,0,0,0,3,0,2,0,2,0
mvn-Calculadora,es.iespuertodelacruz.javier.vista,AppFruteria,19,0,0,0,8,0,4,0,4,0
mvn-Calculadora,es.iespuertodelacruz.javier.modelo,Fichero,243,3,16,0,78,1,17,1,9,1
mvn-Calculadora,es.iespuertodelacruz.javier.modelo,FrutaModelo,48,8,6,0,15,3,8,1,5,1
mvn-Calculadora,es.iespuertodelacruz.javier.controlador,FrutaController,91,54,17,7,27,17,17,3,6,2
mvn-Calculadora,es.iespuertodelacruz.javier.exception,FrutaException,5,4,0,0,2,2,1,1,1,1
mvn-Calculadora,es.iespuertodelacruz.javier.exception,FicheroException,9,0,0,0,4,0,2,0,2,0
