GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
GestionFloristeria,es.iespuertodelacruz.javier,Planta,32,81,12,4,1,22,7,10,0,9
GestionFloristeria,es.iespuertodelacruz.javier,GestionFloristeria,0,114,1,11,0,29,1,14,0,9
GestionFloristeria,es.iespuertodelacruz.javier.exceptions,PlantasException,0,9,0,0,0,4,0,2,0,2
